genus	species	genome_size	socru_species
Salmonella	-	5.0m	Salmonella_enterica
Escherichia	-	5.0m	Escherichia_coli
Shigella	-	5.0m	Escherichia_coli
Campylobacter	-	1.6m	Campylobacter_sp.
Campylobacter	jejuni	1.6m	Campylobacter_jejuni
Campylobacter	coli	1.6m	Campylobacter_coli
Campylobacter	upsaliensis	1.6m	Campylobacter_sp.
Vibrio	-	5.0m	Vibrio_sp.
Vibrio	cholerae	4.0m	Vibrio_cholerae
Vibrio	parahaemolyticus	5.0m	Vibrio_parahaemolyticus
Yersinia	-	4.7m	Yersinia_enterocolitica
Cronobacter	-	4.5m	Cronobacter_sakazakii
Cronobacter	sakazakii	4.5m	Cronobacter_sakazakii
Listeria	-	3.0m	Listeria_monocytogenes
Listeria	monocytogenes	3.0m	Listeria_monocytogenes
